MBTI,NAME,CHARACTER,E,I,S,N,T,F,P,J,EI,SN,TF,PJ,PROS,PEOPLE
ESTP,說服者,好勝、重視自由、不喜歡鑽研理論、懂得說服別人、樂觀、喜歡挑戰極限、不善於計劃未來、 喜歡表現自己、有點自大、交友圈子廣闊、享受刺激、不懂得安慰别人、衝動、喜歡與他人爭論、甚少展露情緒、說話直接、容易感到無聊、 懂得靈活孌通、活在當下、叛逆、非常好動、喜歡運動、機會主義、 善於利用規矩漏洞、經常開玩笑。,1,,1,,1,,1,,1,1,1,1,"1. 企業家人格類型是最容易冒險的人格類型。他們活在當下、說做就做，是風暴的中心。
2. 這使他們很難適應學校和其他秩序井然的組織。
3. 他們也許是最有感知力和洞察力的類型，善於捕捉微小的變化。",同性格名人：安潔莉娜·裘莉、唐納·川普
ESFP,表演者,喜歡自由、很多鬼主意、不喜歡計劃將來、討厭思前想後、容易感到無聊、追求美感、 不喜歡與人爭吵、喜歡四處旅行、活在當下、衝動、討厭學習書本知識、喜歡成為眾人焦點、思想簡單、喜歡逗朋友笑、渴望了解他人、社交圈子廣闊、衣著打扮獨特、不正經、不易動搖的價值觀、興趣廣泛、坐言起行、 肯定自己是外向者、擁有個人魅力、派對動物、善於言談。,1,,1,,,1,1,,1,1,0,1,"1. 總是不由自主的開始又唱又跳。表演者人格類型的人會沉醉於當前的興奮狀態，而且希望人人如此。
2. 說起激勵他人、給他人打氣助威，會毫不吝惜自己的時間和精力。
3. 令人難以招架，任何其他人格類型在這方面都不能與之相提並論。",同性格名人：李奧納多狄卡皮歐、麥莉·希拉
ISTP,工匠,頗喜歡黑色幽默、喜歡做實驗、擁有工匠精神、好勝、不擅於表露情緒、不喜歡回覆訊息、慵懶悠閒、需要很多私人空間、容易感到無聊、洞察力強、說話簡短直接、不想遵守社交禮儀、重視正確語法、 喜歡去健身房、難以理解他人情緒、不拘小節、非常討厭激勵說話、習慣從做中學、難以向人打開心扉、非常重視邏輯關係、容易適應新環境、無神論者、頭腦冷靜、暗地裏觀察他人、獨立。,,1,1,,1,,1,,0,1,1,1,"1. 佔人口5%。
2. 享受人生，去不同的地方，見不同的朋友，期待挑戰。
3. 天生的製造者，從創造中獲得樂趣。
4. 通常是機械師和工程師，樂於動手。",同性格名人：賈伯斯、達賴喇嘛、艾希頓·庫奇
ISFP,藝術家,善於解讀身體語言、容易感到無聊、隨性、活在當下、待人真誠、審美觀獨特、經常逞強、喜歡攝影、需要很多獨處時間、不愛人群、觀察力強、多愁善感、喜歡藝術、不喜歡跟隨主流、不喜歡做性格測驗、 遵從内心的感覺、記仇、難以預測、喜歡獨自去旅行、拖延症末期患者、溫柔、很在意他人眼光、有數種 對外形象、不善於計劃末來、討厭爭執。,,1,1,,,1,1,,0,1,0,1,"1. 喜歡找各種方式來釋放自己的激情。他們比別的人格類型更容易參與有風險的行為，比如賭博和極限運動。幸運的是，他們與周圍環境的協調使他們比別人更擅長這些。
2. 喜歡與人交往。
3. 有種難以抗拒的魅力。",同性格名人：蕾哈娜、貝克漢、麥克·傑森
ESTJ,指揮者,容易感到不耐煩、經常與他人比較、喜歡仔細計劃事情、做事有條理、把責任攬在身上、有自信、控制狂 、難以被批評影響、偶爾有點調皮、傾向信任權威、討厭情緒化的人、結果比過程重要、打從心裡鄙視蠢人、看重名利、難以理解他人立場、遵守規矩、務實貼地、喜歡擔任隊長一職、說話直接、果斷、重視細節、記憶力好、固執、講求效率、不懂照顧他人感受。,1,,1,,1,,,1,1,1,1,0,"1. 佔人口11%以上。
2. 他們是傳統和秩序的代表、民主社會的領導者。
3. 常常承擔起社區組織者的角色，帶領大家努力前行。
4. 堅信法律和規則。",同性格名人：艾瑪·華森、希拉蕊·柯林頓
ESFJ,照顧者,務實、愛小動物、有敏銳的潮流觸覺、 交友圈子廣闊、對朋友非常忠誠、按部就班、記憶力好、有耐性 、傾向忽視自己需要、正義感強、重視細節、不懂得隱藏情緒、像個母親、迷信、熱情、完美主義、容易被騙、多愁善感、在熟人前像個孩子、喜歡分享、八卦、有責任心、討厭爭執、過於囉嗦、經常主動邀約朋友、與任何人都能聊天,1,,1,,,1,,1,1,1,0,0,"1. 佔人口12%。
2. 非常受人歡迎，在聚光燈下帶領大家走向勝利和榮譽。
3. 時刻瞭解朋友們的動向。
4. 支持法律與規則，拒絕從哲學和神秘主義中總結道德標準。",同性格名人：泰勒絲、比爾·柯林頓
ISTJ,管理者,記憶力好、喜歡計劃、想像力差、傾向想像最壞情況、容易預測、做事有條理、注重整潔、遵守規則、 不懂得安慰別人、容易誤解他人動機、有效率、念舊、傾向獨自工作、緊守承諾、追求安穩、不愛冒風險 、有責任心、討厭難以捉摸的人、高道德標準、務實、工作狂、不說廢話、完美主義、能夠維持長期習慣 、重視細節。,,1,1,,1,,,1,0,1,1,0,"1. 人類中數量最多的，大約占人口總數的13%。
2. 深受家庭以及擁護傳統、規則、標準的組織青睞。比如律所、監管部門和軍隊。
3. 正直、務實，恪盡職守。
4. 願意為自己的行為負責。",同性格名人：娜塔莉·波曼、喬治·華盛頓
ISFJ,守護者,溫柔友善、經常主動調停紛爭、平常不會特別打扮、顧家、喜歡幫助別人、八卦流出的源頭、不瞭解自己需要、應變力差、好奇心強、沒有主見、說話客氣、傾向想象最壞可能、憤怒時像變了個人、重視細節、 文靜、喜歡自我嘲諷、 被以爲十分外向、謙虛、非常努力維繫關係、喜歡觀察別人、很懂得送禮物、面面俱圓、記憶力好、不喜歡向人訴苦、不懂得拒絕別人。,,1,1,,,1,,1,0,1,0,0,"1. 所有人格類型中占人口總數比例前幾名，接近13%。
2. 雖然非常照顧他人的感受，一旦碰到了需要保護其家人或朋友的時候，會變得非常強悍。
3. 雖然安靜內向,卻有很好的社交技巧和社會關係。",同性格名人：肯伊·威斯特、凱特王妃、德蕾莎修女
ENTJ,指揮官,重視效率、喜歡指揮別人做事、有自信、直話直說、抽離感情、難以對別人卸下心防、就事論事、好勝、有毅力、對管理學有興趣、冷酷、意見獨到、霸道總裁、工作狂、機會主義、愛面子、貫徹始終、喜歡運動、大膽求變、勇於發言、目標明確、容易發怒、大聲說話、不喜歡害羞的人、控制欲強。,1,,,1,1,,,1,1,0,1,0,"1. 只占人口的3%。
2. 天生的領導者，散發魅力與自信。
3. 幸福來源於成功時的喜悅。
4. 善於發現他人的才能。",同性格名人：莎莉·賽隆、比爾·蓋茲、柴契爾夫人
ENTP,辯論家,半外向半內向、永遠在學習知識、需要很多私人空間、不修邊幅、不看重名利、很好聊、愛挑戰他人底線、很多奇怪想法、樂觀、孩子氣、粗心大意、好奇心強、能哲學化任何話題、不愛跟隨計畫做事、做事效率看心情、無法預測、容易分心、腦筋靈活、獨立、無神論者、魔鬼代言人、重視過程多於結果、記憶力差、不喜歡做出決定、好勝。,1,,,1,1,,1,,1,0,1,1,"1. 只占人口的3%。
2. 天生愛抬槓，抬槓不是要打破傳統，而是因為有趣。
3. 知識豐富、有敏銳的幽默感。
4. 很難與人交往。",同性格名人：歐巴馬、富蘭克林、達文西
INTJ,建築師,夜貓、不會留戀過去、固執、說話直率、不喜歡小孩子、比同齡人成熟、缺乏耐性、喜歡辯論、面無表情、完美主義、果斷、追求效率、清楚自己未來道路、好學、經常過度分析事情、不喜歡表達情感、心思慎密、好勝、永遠有後備計劃、内心敏感、看法獨到、難以表達自己想法、觀察入微、擅長看破謊言、公私分明。,,1,,1,1,,,1,0,0,1,0,"1. 對知識充滿渴望。
2. 喜歡獨處。
3. 相信只要努力，智慧和思考可以達到任何目標。
4. 厭惡規則、限制與傳統。
5. 厭惡愚蠢、愚昧的人。",同性格名人：馬克·祖克柏、馬克思
INTP,邏輯思考者,喜歡黑色幽默、永遠在學習知識、難以表達自己感受、喜歡數學或編程、拖延症末期患者、對世界感到好奇、說話直率、猶豫不決、經常忘記吃飯、討厭階級制度、粗心大意、害羞、會自己與自己對話、不喜歡重複性工作、與世無爭、虛無主義、不會衝動行事、重視話語邏輯、獨立、無神論者、看法獨到、經常自我反省、不太在意儀容、經常做白日夢、不太懂的與人溝通。,,1,,1,1,,1,,0,0,1,1,"1. 看上去像是在沉思或者神游，因為他們經常在自己的腦海裡進行激烈的辯論。與熟人或愛好相近的人相處時，會變得非常放鬆而友好。
2. 從不抱怨也不能理解別人的抱怨。
3. 對失敗過於恐懼限制了他們的成功。",同性格名人：愛因斯坦、林肯
ENFJ,教育者,有愛心、無私、討厭爭執、交友圈子廣闊、對批評很敏感、無厘頭、偶爾過於理想主義、不善於隱藏情緒、懂得令人喜歡自己、熱情、容易生氣、同理心強、喜歡運動、善於讀空氣、嘴賤、有點社交尷尬、敢於發表自己意見、喜歡大自然、笑點奇怪、很在意他人想法、善於鼓勵他人、喜歡社交、反應快、正義感強、過於執著。,1,,,1,,1,,1,1,0,0,0,"1. 天生的領導者，充滿激情、魅力四射。
2. 占人口的2%。
3. 常常是我們的政客、教練和老師。
4. 幫助、啟發他人取得成就，並造福整個世界。",同性格名人：歐普拉、馬丁·路德
ENFP,活動家,動物愛好者、審美觀獨特、既外向又內向、介意自己形象、衝動、經常熬夜、樂於助人、三分鐘熱度、明白他人背後想法、偶爾會有哲學一面、記憶力差、樂觀、經常墮入愛河、愛幻想、思想跳脫、熱情友善、經常遲到、興趣廣泛、腦袋停不下來、懷疑自己是INFP、好奇心旺盛、正義感強、對身邊人忠誠、希望得到他人認同、喜歡有 身體接觸。,1,,,1,,1,1,,1,0,0,1,"1. 真正富有自由精神的人。
2. 占人口的7%。
3. 他們常常是聚會上的焦點。
4. 富有魅力，獨立、精力充沛且有同情心。",同性格名人：馬克·吐溫、珊卓·布拉克、華特·迪士尼
INFJ,擁護者,喜歡寧靜的環境、對心理學有興趣、完美主義、經常迷路、很多想法說不出口、同理心強、難以對人敞開心扉、經常發白日夢、有遠見、朋友們的訴苦對象、經常自我反省、不擅長運動、覺得社交很累人、社交 變色龍、能預測到事情發展、容易心軟、簡約主義、追求知識、有很多奇怪幻想、經常過度分析事情、理想主義、見微知著、非常關心身邊人、與朋友有距離感、喜歡計畫。,,1,,1,,1,,1,0,0,0,0,"1. 只占人口的1%，非常稀有。
2. 與生俱來的理想主義和道德感。
3. 腳踏實地完成目標。
4. 幫助別人就是他們的人生意義。",同性格名人：凱特·布蘭琪、甘地
INFP,調停者,"容易低估自己能力、發白日夢、需要很多私人空間、不擅長做決定、隨遇而安、朋友們的訴苦對象、害羞 、同理心強、對批評很敏感、渴望了解他人、肯定自己是內向者、理想主義、對自己有高要求、遵從內心
的感覺、會跟死物說對不起、討厭爭執、聆聽者、容易哭、拖延症末期患者、不斷找尋人生意義、喜歡動物、自省能力強、喜歡畫畫、喜歡閱讀、缺乏安全感。",,1,,1,,1,1,,0,0,0,1,"1. 只占人口的4%。
2. 外在冷靜，內在熱情。
3. 樂觀主義者。
4. 原則性強。",同性格名人：約翰·藍儂、J·K·羅琳、莎士比亞
